Connecting to console on VM mirageIperfServer. Press Ctrl + ']' to quit.
Server is using interface 0 with IP address 192.168.8.101
Setting up iperf server listening at port 5001 
Done setting up server 
ARP: updating 192.168.8.102 -> a6:38:2d:35:dd:1b
ARP responding to: who-has 192.168.8.101?
Iperf server: Received connection from 192.168.8.102:18048.
Iperf server: t = 71.543270, rate = 1118 KBits/s, totbytes = 10000000, live_words = 492697
Time=0.000000, Delay=0.000000, Op=RX, Kind=SEG, details=[466434749 452893865] 
Time=0.000001, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466434749 0 262140 262140 4380 23360 0 452893864] 
Time=0.000002, Delay=0.000000, Op=RX, Kind=SEG, details=[466436208 452893865] 
Time=0.000002, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466434749 0 262140 262140 4380 23360 0 452893864] 
Time=0.000109, Delay=0.000105, Op=TX, Kind=SEG, details=[452893865 466437667] 
Time=0.000241, Delay=0.000000, Op=RX, Kind=SEG, details=[466437667 452893865] 
Time=0.000242, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466437667 0 262140 262140 4380 23360 0 452893864] 
Time=0.000243, Delay=0.000000, Op=RX, Kind=SEG, details=[466439126 452893865] 
Time=0.000243, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466437667 0 262140 262140 4380 23360 0 452893864] 
Time=0.000243, Delay=0.000000, Op=RX, Kind=SEG, details=[466440585 452893865] 
Time=0.000246, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466442044 0 262140 262140 4380 23360 0 452893864] 
Time=0.000259, Delay=0.000013, Op=TX, Kind=SEG, details=[452893865 466442044] 
Time=0.000316, Delay=0.000000, Op=RX, Kind=SEG, details=[466442044 452893865] 
Time=0.000317, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466442044 0 262140 262140 4380 23360 0 452893864] 
Time=0.000317, Delay=0.000000, Op=RX, Kind=SEG, details=[466443503 452893865] 
Time=0.000318, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466442044 0 262140 262140 4380 23360 0 452893864] 
Time=0.000326, Delay=0.000000, Op=RX, Kind=SEG, details=[466444962 452893865] 
Time=0.000326, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466444962 0 262140 262140 4380 23360 0 452893864] 
Time=0.000327, Delay=0.000000, Op=RX, Kind=SEG, details=[466446421 452893865] 
Time=0.000327, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466444962 0 262140 262140 4380 23360 0 452893864] 
Time=0.000331, Delay=0.000012, Op=TX, Kind=SEG, details=[452893865 466447880] 
Time=0.000339, Delay=0.000007, Op=TX, Kind=SEG, details=[452893865 466447880] 
Time=0.000445, Delay=0.000000, Op=RX, Kind=SEG, details=[466447880 452893865] 
Time=0.000445, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466447880 0 262140 262140 4380 23360 0 452893864] 
Time=0.000446, Delay=0.000000, Op=RX, Kind=SEG, details=[466449339 452893865] 
Time=0.000446, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466447880 0 262140 262140 4380 23360 0 452893864] 
Time=0.000447, Delay=0.000000, Op=RX, Kind=SEG, details=[466450798 452893865] 
Time=0.000447, Delay=0.000000, Op=RX, Kind=SEG, details=[466452257 452893865] 
Time=0.000448, Delay=0.000000, Op=RX, Kind=SEG, details=[466453716 452893865] 
Time=0.000451, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466455175 0 262140 262140 4380 23360 0 452893864] 
Time=0.000455, Delay=0.000000, Op=WND, Kind=UPD, details=[452893865 452893865 452893865 466455175 0 262140 262140 4380 23360 0 452893864] 
