Connecting to console on VM mirageIperfClient. Press Ctrl + ']' to quit.
Setting up iperf client on interface 0
I have IP 192.168.8.102, trying to connect to 192.168.8.101 :5001 
Iperf client: Attempting connection. 
ARP: transmitting probe -> 192.168.8.101
ARP: updating 192.168.8.101 -> 4e:da:e3:99:3e:89
Iperf client: Made connection to server. 
Time=0.000000, Delay=0.000003, Op=TX, Kind=SEG, details=[466434749 452893865] 
Time=0.000004, Delay=0.000002, Op=TX, Kind=SEG, details=[466436208 452893865] 
Time=0.000205, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466437667] 
Time=0.000207, Delay=0.000000, Op=WND, Kind=UPD, details=[466437667 466437667 466434749 452893865 0 262140 262140 2920 262140 0 466434749] 
Time=0.000215, Delay=0.000004, Op=TX, Kind=SEG, details=[466437667 452893865] 
Time=0.000217, Delay=0.000002, Op=TX, Kind=SEG, details=[466439126 452893865] 
Time=0.000219, Delay=0.000002, Op=TX, Kind=SEG, details=[466440585 452893865] 
Time=0.000333, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466442044] 
Time=0.000334, Delay=0.000000, Op=WND, Kind=UPD, details=[466442044 466442044 466437667 452893865 0 262140 262140 4380 262140 0 466434749] 
Time=0.000340, Delay=0.000004, Op=TX, Kind=SEG, details=[466442044 452893865] 
Time=0.000343, Delay=0.000001, Op=TX, Kind=SEG, details=[466443503 452893865] 
Time=0.000345, Delay=0.000002, Op=TX, Kind=SEG, details=[466444962 452893865] 
Time=0.000347, Delay=0.000001, Op=TX, Kind=SEG, details=[466446421 452893865] 
Time=0.000405, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466444962] 
Time=0.000406, Delay=0.000000, Op=WND, Kind=UPD, details=[466447880 466444962 466442044 452893865 0 262140 262140 5840 262140 0 466434749] 
Time=0.000407, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466447880] 
Time=0.000407, Delay=0.000000, Op=WND, Kind=UPD, details=[466447880 466447880 466442044 452893865 0 262140 262140 5840 262140 0 466434749] 
Time=0.000412, Delay=0.000003, Op=TX, Kind=SEG, details=[466447880 452893865] 
Time=0.000414, Delay=0.000002, Op=TX, Kind=SEG, details=[466449339 452893865] 
Time=0.000416, Delay=0.000002, Op=TX, Kind=SEG, details=[466450798 452893865] 
Time=0.000420, Delay=0.000003, Op=TX, Kind=SEG, details=[466452257 452893865] 
Time=0.000422, Delay=0.000001, Op=TX, Kind=SEG, details=[466453716 452893865] 
Time=0.000528, Delay=0.000000, Op=RX, Kind=SEG, details=[452893865 466455175] 
Time=0.000529, Delay=0.000000, Op=WND, Kind=UPD, details=[466455175 466455175 466447880 452893865 0 262140 262140 7300 262140 0 466434749] 
